date,Total_PnL,Avg_Execution_Price,Total_Trade_Volume,Total_Fee,Trade_Count,value,classification,Sentiment_Binary,PnL_3D_Mean,PnL_3D_STD,Volume_3D_Mean,TradeCount_3D_Mean
2024-02-25,-30.7705,0.5663259999999999,4480.13,-0.0896,5,74.0,Greed,1.0,1760.6291666666666,1984.6723089126667,162873.38000000003,78.66666666666667
2024-02-26,4416.8473,5.614911538461539,192187.14,-0.0977249999999998,39,72.0,Greed,1.0,1934.8765766666666,2268.318453127689,102591.13666666667,62.333333333333336
2024-02-27,888.511733,36.1611293968254,209362.3,-3.761609,63,79.0,Extreme Greed,,1758.1961776666667,2347.8903932446665,135343.19000000003,35.666666666666664
2024-02-28,2503.747235,1.2982939111111111,171107.13,-1.377152,45,82.0,Extreme Greed,,2603.0354226666664,1766.2620350607401,190885.52333333335,49.0
2024-02-29,9813.996992,11.306912146551724,395666.73,1.359085,116,80.0,Extreme Greed,,4402.085319999999,4755.92655440322,258712.05333333334,74.66666666666667
2024-03-01,8244.241409,2.725657408759124,472974.7,-0.546854,137,80.0,Extreme Greed,,6853.995211999999,3848.314727726199,346582.85333333333,99.33333333333333
2024-03-02,230.90060000000005,0.8005309032258064,63197.56,-0.4691290000000001,31,80.0,Extreme Greed,,6096.379666999998,5139.933526968156,310612.9966666667,94.66666666666667
2024-03-03,8361.086245,3.0333498607594938,390745.68,-2.507103,79,83.0,Extreme Greed,,5612.076084666667,4660.600860029543,308972.6466666667,82.33333333333333
2024-03-04,27799.775742,419.88134141,1577996.87,-0.559449,300,82.0,Extreme Greed,,12130.587528999999,14165.718269694433,677313.3700000001,136.66666666666666
2024-03-05,19791.026041,0.3816785944444444,841810.32,-4.438459,180,90.0,Extreme Greed,,18650.629342666667,9769.393062640675,936850.9566666667,186.33333333333334
2024-03-06,6814.825139,1.7171503902439025,327218.02,-3.355318,82,75.0,Extreme Greed,,18135.208973999997,10590.011122379141,915675.0700000002,187.33333333333334
2024-03-08,4271.886236,2.9131835970149256,183583.18,-3.671629,67,81.0,Extreme Greed,,10292.579138666664,8323.581244478366,450870.50666666677,109.66666666666667
2024-03-09,9949.501624,15.9975568974359,658178.75,1.851764,117,84.0,Extreme Greed,,7012.070999666664,2843.9424344870695,389659.9833333334,88.66666666666667
2024-03-10,2482.9272,34.630716666666665,219973.85,2.281072,42,79.0,Extreme Greed,,5568.105019999998,3898.406181925968,353911.92666666675,75.33333333333333
2024-03-11,3588.179495,2.647672619047619,176519.44999999998,8.47289,42,82.0,Extreme Greed,,5340.202772999998,4029.841508331708,351557.3500000001,67.0
2024-03-12,3039.166,9.235375,103040.85,4.945953,8,81.0,Extreme Greed,,3036.7575649999976,552.6300836184214,166511.38333333345,30.666666666666668
2024-03-13,0.0,3979.957142857143,6000.799999999999,2.100278,7,81.0,Extreme Greed,,2209.1151649999974,1932.7432094300095,95187.03333333346,19.0
2024-03-14,3465.865832,252.0171572222222,205933.18,11.716792,18,88.0,Extreme Greed,,2168.343943999998,1889.921898192718,104991.6100000001,11.0
2024-03-15,6236.513651,502.81406972580646,351894.41,49.485003,62,83.0,Extreme Greed,,3234.1264943333313,3124.7084616399056,187942.79666666678,29.0
2024-03-16,228.57984,2750.4022475,37223.66,10.52828,8,81.0,Extreme Greed,,3310.3197743333308,3006.985716856837,198350.41666666677,29.333333333333332
2024-03-17,503.293955,2191.606,99506.95,33.763329,23,79.0,Extreme Greed,,2322.795815333331,3392.1611745547475,162875.0066666668,31.0
2024-03-18,1456.9577,2238.5484684210523,90458.08,24.94328,19,77.0,Extreme Greed,,729.6104983333306,644.703362077759,75729.56333333347,16.666666666666668
2024-03-19,668.797973,575.3537,219884.84,25.988312,24,79.0,Extreme Greed,,876.3498759999972,509.5851047284512,136616.62333333347,22.0
2024-03-20,6423.134599,193.64368536231885,215705.85,39.878838,69,74.0,Greed,1.0,2849.630090666664,3119.7355324009795,175349.5900000001,37.333333333333336
2024-03-21,2335.508075,124.34982285714284,117895.57,16.394750000000002,28,78.0,Extreme Greed,,3142.480215666664,2960.8276762065066,184495.42000000016,40.333333333333336
